# t[days] lsstu lsstg lsstr lssti lsstz lssty
10.500 45.481 38.532 34.411 31.873 30.326 29.271
10.750 45.888 38.817 34.631 32.051 30.476 29.401
11.000 46.299 39.106 34.855 32.232 30.629 29.533
11.250 46.718 39.401 35.084 32.417 30.786 29.668
11.500 47.138 39.697 35.313 32.603 30.944 29.805
11.750 47.563 39.996 35.546 32.792 31.104 29.944
12.000 47.996 40.302 35.784 32.986 31.269 30.087
12.250 48.434 40.611 36.025 33.183 31.436 30.232
12.500 48.88 40.927 36.271 33.383 31.608 30.381
12.750 49.331 41.246 36.521 33.587 31.782 30.532
13.000 49.791 41.571 36.775 33.795 31.96 30.687
13.250 50.255 41.9 37.033 34.006 32.14 30.844
13.500 50.723 42.232 37.292 34.219 32.322 31.004
13.750 51.198 42.568 37.556 34.435 32.508 31.165
14.000 51.682 42.911 37.825 34.656 32.698 31.331
14.250 52.171 43.258 38.097 34.88 32.89 31.5
14.500 52.666 43.609 38.373 35.107 33.085 31.67
14.750 53.169 43.966 38.653 35.338 33.284 31.844
15.000 53.679 44.327 38.937 35.572 33.486 32.021
15.250 54.196 44.694 39.225 35.81 33.691 32.202
15.500 54.715 45.061 39.515 36.049 33.898 32.383
15.750 55.235 45.431 39.806 36.29 34.107 32.567
16.000 55.755 45.801 40.098 36.533 34.317 32.752
16.250 55.922 45.926 40.202 36.622 34.397 32.825
16.500 55.95 45.954 40.229 36.65 34.425 32.853
16.750 55.978 45.982 40.257 36.678 34.453 32.881
17.000 56.006 46.01 40.286 36.706 34.481 32.909
17.250 56.035 46.039 40.315 36.735 34.51 32.938
17.500 56.065 46.068 40.344 36.764 34.539 32.967
17.750 56.094 46.098 40.374 36.794 34.569 32.997
18.000 56.124 46.128 40.403 36.824 34.599 33.027
18.250 56.154 46.158 40.433 36.854 34.629 33.057
18.500 56.184 46.188 40.464 36.884 34.659 33.087
18.750 56.215 46.219 40.494 36.915 34.69 33.118
19.000 56.246 46.25 40.525 36.946 34.721 33.149
19.250 56.277 46.281 40.556 36.977 34.752 33.18
19.500 56.309 46.313 40.588 37.009 34.783 33.212
19.750 56.34 46.344 40.62 37.04 34.815 33.243
20.000 56.372 46.376 40.652 37.072 34.847 33.275
20.250 56.404 46.408 40.684 37.104 34.879 33.307
20.500 56.437 46.441 40.716 37.137 34.912 33.34
20.750 56.47 46.474 40.749 37.17 34.944 33.373
21.000 56.502 46.506 40.782 37.202 34.977 33.405
21.250 56.535 46.539 40.815 37.235 35.01 33.438
21.500 56.568 46.572 40.847 37.268 35.043 33.471
21.750 56.601 46.605 40.881 37.301 35.076 33.504
22.000 56.635 46.638 40.914 37.334 35.109 33.537
22.250 56.668 46.672 40.947 37.368 35.143 33.571
22.500 56.701 46.705 40.981 37.401 35.176 33.604
22.750 56.735 46.739 41.014 37.435 35.21 33.638
23.000 56.769 46.772 41.048 37.468 35.243 33.671
23.250 56.802 46.806 41.081 37.502 35.277 33.705
23.500 56.836 46.84 41.115 37.536 35.311 33.739
23.750 56.87 46.874 41.149 37.57 35.344 33.773
24.000 56.904 46.907 41.183 37.603 35.378 33.806
24.250 56.937 46.941 41.217 37.637 35.412 33.84
24.500 56.971 46.975 41.25 37.671 35.446 33.874
24.750 57.005 47.009 41.284 37.705 35.48 33.908
25.000 57.038 47.042 41.318 37.738 35.513 33.941
25.250 57.072 47.076 41.351 37.772 35.547 33.975
25.500 57.105 47.109 41.385 37.805 35.58 34.008
25.750 57.139 47.143 41.418 37.839 35.614 34.042
26.000 57.172 47.176 41.451 37.872 35.647 34.075
26.250 57.205 47.209 41.484 37.905 35.68 34.108
26.500 57.238 47.242 41.518 37.938 35.713 34.141
26.750 57.271 47.275 41.55 37.971 35.746 34.174
27.000 57.304 47.308 41.583 38.004 35.779 34.207
27.250 57.337 47.34 41.616 38.036 35.811 34.239
27.500 57.369 47.373 41.648 38.069 35.844 34.272
27.750 57.401 47.405 41.68 38.101 35.876 34.304
28.000 57.433 47.437 41.712 38.133 35.908 34.336
28.250 57.465 47.469 41.744 38.165 35.94 34.368
28.500 57.497 47.5 41.776 38.196 35.971 34.4
28.750 57.528 47.532 41.807 38.228 36.003 34.431
29.000 57.559 47.563 41.838 38.259 36.034 34.462
29.250 57.59 47.594 41.869 38.29 36.064 34.493
29.500 57.62 47.624 41.899 38.32 36.095 34.523
29.750 57.65 47.654 41.93 38.35 36.125 34.553
30.000 57.68 47.684 41.96 38.38 36.155 34.583
